Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
63rd Street Beach,06/29/2015 08:00:00 AM,17.9,1.05,,0.075,4,11.9,06/29/2015 8:00 AM,63rdStreetBeach201506290800
Montrose Beach,06/29/2015 08:00:00 AM,17.3,0.71,,0.104,4,12,06/29/2015 8:00 AM,MontroseBeach201506290800
Osterman Beach,06/29/2015 08:00:00 AM,17,1.11,,0.102,2,11.9,06/29/2015 8:00 AM,OstermanBeach201506290800
Ohio Street Beach,06/29/2015 07:00:00 AM,17.8,1.95,,0.082,3,11.1,06/29/2015 7:00 AM,OhioStreetBeach201506290700
Rainbow Beach,06/29/2015 07:00:00 AM,17.3,0.73,,0.099,4,11.2,06/29/2015 7:00 AM,RainbowBeach201506290700
Calumet Beach,06/29/2015 09:00:00 AM,18.6,0.9,,0.069,3,9.8,06/29/2015 9:00 AM,CalumetBeach201506290900
63rd Street Beach,06/29/2015 09:00:00 AM,17.9,1.02,,0.071,3,11.9,06/29/2015 9:00 AM,63rdStreetBeach201506290900
Montrose Beach,06/29/2015 09:00:00 AM,17.4,0.67,,0.103,3,12,06/29/2015 9:00 AM,MontroseBeach201506290900
Osterman Beach,06/29/2015 09:00:00 AM,17.1,1,,0.093,3,11.8,06/29/2015 9:00 AM,OstermanBeach201506290900
Ohio Street Beach,06/29/2015 08:00:00 AM,17.8,1.98,,0.069,3,11.1,06/29/2015 8:00 AM,OhioStreetBeach201506290800
Rainbow Beach,06/29/2015 08:00:00 AM,17.3,0.66,,0.104,4,11.2,06/29/2015 8:00 AM,RainbowBeach201506290800
Calumet Beach,06/29/2015 10:00:00 AM,18.8,0.87,,0.063,2,9.8,06/29/2015 10:00 AM,CalumetBeach201506291000
63rd Street Beach,06/29/2015 10:00:00 AM,18,1.03,,0.07,3,11.8,06/29/2015 10:00 AM,63rdStreetBeach201506291000
Montrose Beach,06/29/2015 10:00:00 AM,17.5,0.69,,0.095,3,12,06/29/2015 10:00 AM,MontroseBeach201506291000
Osterman Beach,06/29/2015 10:00:00 AM,17.2,1.04,,0.124,2,11.8,06/29/2015 10:00 AM,OstermanBeach201506291000
Ohio Street Beach,06/29/2015 09:00:00 AM,18,1.76,,0.067,3,11.1,06/29/2015 9:00 AM,OhioStreetBeach201506290900
Rainbow Beach,06/29/2015 09:00:00 AM,17.4,0.67,,0.083,3,11.2,06/29/2015 9:00 AM,RainbowBeach201506290900
Calumet Beach,06/29/2015 11:00:00 AM,19,0.92,,0.077,3,9.8,06/29/2015 11:00 AM,CalumetBeach201506291100
63rd Street Beach,06/29/2015 11:00:00 AM,18,0.97,,0.068,4,11.8,06/29/2015 11:00 AM,63rdStreetBeach201506291100
Montrose Beach,06/29/2015 11:00:00 AM,17.5,0.66,,0.096,3,12,06/29/2015 11:00 AM,MontroseBeach201506291100
Osterman Beach,06/29/2015 11:00:00 AM,17.3,0.98,,0.088,3,11.8,06/29/2015 11:00 AM,OstermanBeach201506291100
Ohio Street Beach,06/29/2015 10:00:00 AM,18.1,1.86,,0.085,2,11.1,06/29/2015 10:00 AM,OhioStreetBeach201506291000
Rainbow Beach,06/29/2015 10:00:00 AM,17.5,0.66,,0.088,3,11.2,06/29/2015 10:00 AM,RainbowBeach201506291000
Calumet Beach,06/29/2015 12:00:00 PM,19.2,0.91,,0.071,3,9.8,06/29/2015 12:00 PM,CalumetBeach201506291200
63rd Street Beach,06/29/2015 12:00:00 PM,18.1,0.99,,0.1,4,11.8,06/29/2015 12:00 PM,63rdStreetBeach201506291200
Montrose Beach,06/29/2015 12:00:00 PM,17.6,0.56,,0.11,3,12,06/29/2015 12:00 PM,MontroseBeach201506291200
Osterman Beach,06/29/2015 12:00:00 PM,17.4,0.94,,0.095,3,11.8,06/29/2015 12:00 PM,OstermanBeach201506291200
Ohio Street Beach,06/29/2015 11:00:00 AM,19.2,1.65,,0.071,3,11.1,06/29/2015 11:00 AM,OhioStreetBeach201506291100
Rainbow Beach,06/29/2015 11:00:00 AM,17.6,0.81,,0.083,3,11.2,06/29/2015 11:00 AM,RainbowBeach201506291100
Calumet Beach,06/29/2015 01:00:00 PM,19.3,0.91,,0.08,2,9.8,06/29/2015 1:00 PM,CalumetBeach201506291300
63rd Street Beach,06/29/2015 01:00:00 PM,18.2,0.95,,0.085,3,11.8,06/29/2015 1:00 PM,63rdStreetBeach201506291300
Montrose Beach,06/29/2015 01:00:00 PM,17.8,0.57,,0.093,4,12,06/29/2015 1:00 PM,MontroseBeach201506291300
Osterman Beach,06/29/2015 01:00:00 PM,17.6,0.95,,0.082,4,11.8,06/29/2015 1:00 PM,OstermanBeach201506291300
Ohio Street Beach,06/29/2015 12:00:00 PM,19,1.61,,0.144,3,11.1,06/29/2015 12:00 PM,OhioStreetBeach201506291200
Rainbow Beach,06/29/2015 12:00:00 PM,17.6,0.66,,0.099,4,11.2,06/29/2015 12:00 PM,RainbowBeach201506291200
Calumet Beach,06/05/2016 11:00:00 AM,14.6,1.04,,0.09,2,11.3,06/05/2016 11:00 AM,CalumetBeach201606051100
Montrose Beach,06/05/2016 11:00:00 AM,11.9,0,,0.196,3,11.4,06/05/2016 11:00 AM,MontroseBeach201606051100
Ohio Street Beach,06/05/2016 11:00:00 AM,16.1,0.72,,0.147,2,11.4,06/05/2016 11:00 AM,OhioStreetBeach201606051100
Calumet Beach,06/05/2016 01:00:00 PM,14.3,0.97,,0.138,3,11.3,06/05/2016 1:00 PM,CalumetBeach201606051300
Montrose Beach,06/05/2016 01:00:00 PM,12.2,0,,0.205,3,11.4,06/05/2016 1:00 PM,MontroseBeach201606051300
Ohio Street Beach,06/05/2016 01:00:00 PM,16.5,0.72,,0.167,3,11.4,06/05/2016 1:00 PM,OhioStreetBeach201606051300
Calumet Beach,06/05/2016 02:00:00 PM,14,0.9,,0.128,4,11.3,06/05/2016 2:00 PM,CalumetBeach201606051400
Montrose Beach,06/05/2016 02:00:00 PM,12.4,0,,0.218,3,11.4,06/05/2016 2:00 PM,MontroseBeach201606051400
Ohio Street Beach,06/05/2016 02:00:00 PM,16.7,0.64,,0.172,3,11.4,06/05/2016 2:00 PM,OhioStreetBeach201606051400
Calumet Beach,06/05/2016 03:00:00 PM,13.9,0.97,,0.135,3,11.3,06/05/2016 3:00 PM,CalumetBeach201606051500
Montrose Beach,06/05/2016 03:00:00 PM,12.6,0,,0.208,3,11.4,06/05/2016 3:00 PM,MontroseBeach201606051500
Ohio Street Beach,06/05/2016 03:00:00 PM,17.1,0.71,,0.177,3,11.4,06/05/2016 3:00 PM,OhioStreetBeach201606051500
Calumet Beach,06/05/2016 04:00:00 PM,13.8,1.01,,0.133,3,11.3,06/05/2016 4:00 PM,CalumetBeach201606051600
Montrose Beach,06/05/2016 04:00:00 PM,12.8,0,,0.202,3,11.4,06/05/2016 4:00 PM,MontroseBeach201606051600
Ohio Street Beach,06/05/2016 04:00:00 PM,17.4,0.71,,0.155,3,11.4,06/05/2016 4:00 PM,OhioStreetBeach201606051600
Calumet Beach,06/05/2016 05:00:00 PM,13.8,1.05,,0.126,3,11.3,06/05/2016 5:00 PM,CalumetBeach201606051700
Montrose Beach,06/05/2016 05:00:00 PM,12.9,0,,0.2,3,11.4,06/05/2016 5:00 PM,MontroseBeach201606051700
Ohio Street Beach,06/05/2016 05:00:00 PM,17.9,0.82,,0.162,3,11.4,06/05/2016 5:00 PM,OhioStreetBeach201606051700
Calumet Beach,06/05/2016 06:00:00 PM,13.9,1.04,,0.148,3,11.3,06/05/2016 6:00 PM,CalumetBeach201606051800
Montrose Beach,06/05/2016 06:00:00 PM,12.9,0,,0.188,3,11.4,06/05/2016 6:00 PM,MontroseBeach201606051800
Ohio Street Beach,06/05/2016 06:00:00 PM,18.3,0.96,,0.156,3,11.4,06/05/2016 6:00 PM,OhioStreetBeach201606051800
Calumet Beach,06/05/2016 07:00:00 PM,14,1.46,,0.166,4,11.3,06/05/2016 7:00 PM,CalumetBeach201606051900
Montrose Beach,06/05/2016 07:00:00 PM,12.9,0,,0.184,3,11.4,06/05/2016 7:00 PM,MontroseBeach201606051900
Ohio Street Beach,06/05/2016 07:00:00 PM,18.2,1.06,,0.168,3,11.4,06/05/2016 7:00 PM,OhioStreetBeach201606051900
Calumet Beach,06/05/2016 08:00:00 PM,13.6,1.51,,0.155,3,11.3,06/05/2016 8:00 PM,CalumetBeach201606052000
Montrose Beach,06/05/2016 08:00:00 PM,12.8,0,,0.182,3,11.4,06/05/2016 8:00 PM,MontroseBeach201606052000
Ohio Street Beach,06/05/2016 08:00:00 PM,17.7,1.04,,0.14,10,11.4,06/05/2016 8:00 PM,OhioStreetBeach201606052000
Calumet Beach,06/05/2016 09:00:00 PM,13.5,1.41,,0.143,3,11.3,06/05/2016 9:00 PM,CalumetBeach201606052100
Montrose Beach,06/05/2016 09:00:00 PM,12.8,0,,0.181,3,11.4,06/05/2016 9:00 PM,MontroseBeach201606052100
Ohio Street Beach,06/05/2016 09:00:00 PM,16.5,1.47,,0.129,3,11.4,06/05/2016 9:00 PM,OhioStreetBeach201606052100
Calumet Beach,06/05/2016 10:00:00 PM,13.5,1.29,,0.148,4,11.3,06/05/2016 10:00 PM,CalumetBeach201606052200
Montrose Beach,06/05/2016 10:00:00 PM,12.8,0,,0.216,3,11.4,06/05/2016 10:00 PM,MontroseBeach201606052200
Calumet Beach,06/06/2016 07:00:00 AM,13.9,0.75,,0.114,4,11.2,06/06/2016 7:00 AM,CalumetBeach201606060700
Montrose Beach,06/06/2016 07:00:00 AM,12.8,0,,0.159,4,11.4,06/06/2016 7:00 AM,MontroseBeach201606060700
63rd Street Beach,06/29/2015 02:00:00 PM,18.5,0.94,,0.113,4,11.8,06/29/2015 2:00 PM,63rdStreetBeach201506291400
Montrose Beach,06/29/2015 02:00:00 PM,17.8,0.55,,0.093,3,12,06/29/2015 2:00 PM,MontroseBeach201506291400
Osterman Beach,06/29/2015 02:00:00 PM,17.8,0.93,,0.088,5,11.8,06/29/2015 2:00 PM,OstermanBeach201506291400
Ohio Street Beach,06/29/2015 01:00:00 PM,18.8,1.85,,0.074,3,11.1,06/29/2015 1:00 PM,OhioStreetBeach201506291300
Rainbow Beach,06/29/2015 01:00:00 PM,17.8,0.64,,0.112,4,11.2,06/29/2015 1:00 PM,RainbowBeach201506291300
Calumet Beach,06/29/2015 03:00:00 PM,20.1,0.86,,0.085,4,9.8,06/29/2015 3:00 PM,CalumetBeach201506291500
63rd Street Beach,06/29/2015 03:00:00 PM,18.8,0.86,,0.08,4,11.8,06/29/2015 3:00 PM,63rdStreetBeach201506291500
Montrose Beach,06/29/2015 03:00:00 PM,17.9,0.56,,0.116,4,12,06/29/2015 3:00 PM,MontroseBeach201506291500
Osterman Beach,06/29/2015 03:00:00 PM,18,0.93,,0.109,3,11.8,06/29/2015 3:00 PM,OstermanBeach201506291500
Ohio Street Beach,06/29/2015 02:00:00 PM,19.3,1.74,,0.105,2,11.1,06/29/2015 2:00 PM,OhioStreetBeach201506291400
Rainbow Beach,06/29/2015 02:00:00 PM,18.2,0.63,,0.126,4,11.2,06/29/2015 2:00 PM,RainbowBeach201506291400
Calumet Beach,06/29/2015 04:00:00 PM,20.6,0.86,,0.086,3,9.8,06/29/2015 4:00 PM,CalumetBeach201506291600
63rd Street Beach,06/29/2015 04:00:00 PM,18.9,0.85,,0.085,4,11.8,06/29/2015 4:00 PM,63rdStreetBeach201506291600
Montrose Beach,06/29/2015 04:00:00 PM,18,0.36,,0.118,4,12,06/29/2015 4:00 PM,MontroseBeach201506291600
Osterman Beach,06/29/2015 04:00:00 PM,18.4,0.86,,0.097,4,11.8,06/29/2015 4:00 PM,OstermanBeach201506291600
Ohio Street Beach,06/29/2015 03:00:00 PM,19,1.93,,0.125,3,11.1,06/29/2015 3:00 PM,OhioStreetBeach201506291500
Rainbow Beach,06/29/2015 03:00:00 PM,18.5,0.62,,0.093,4,11.2,06/29/2015 3:00 PM,RainbowBeach201506291500
Calumet Beach,06/29/2015 05:00:00 PM,20.2,0.82,,0.064,9,9.8,06/29/2015 5:00 PM,CalumetBeach201506291700
63rd Street Beach,06/29/2015 05:00:00 PM,19.3,0.78,,0.074,4,11.8,06/29/2015 5:00 PM,63rdStreetBeach201506291700
Montrose Beach,06/29/2015 05:00:00 PM,17.9,0.35,,0.09,8,12,06/29/2015 5:00 PM,MontroseBeach201506291700
Osterman Beach,06/29/2015 05:00:00 PM,18.7,0.9,,0.083,4,11.8,06/29/2015 5:00 PM,OstermanBeach201506291700
Ohio Street Beach,06/29/2015 04:00:00 PM,18.8,2.01,,0.087,4,11.1,06/29/2015 4:00 PM,OhioStreetBeach201506291600
Rainbow Beach,06/29/2015 04:00:00 PM,18.8,0.71,,0.109,9,11.2,06/29/2015 4:00 PM,RainbowBeach201506291600
Calumet Beach,06/29/2015 06:00:00 PM,19.9,0.84,,0.067,4,9.8,06/29/2015 6:00 PM,CalumetBeach201506291800
63rd Street Beach,06/29/2015 06:00:00 PM,19.4,1.41,,0.071,3,11.8,06/29/2015 6:00 PM,63rdStreetBeach201506291800
Montrose Beach,06/29/2015 06:00:00 PM,17.9,0.24,,0.093,7,12,06/29/2015 6:00 PM,MontroseBeach201506291800
Osterman Beach,06/29/2015 06:00:00 PM,18.3,0.81,,0.09,7,11.8,06/29/2015 6:00 PM,OstermanBeach201506291800
Ohio Street Beach,06/29/2015 05:00:00 PM,19,1.66,,0.086,4,11.1,06/29/2015 5:00 PM,OhioStreetBeach201506291700
Rainbow Beach,06/29/2015 05:00:00 PM,18.6,0.74,,0.109,4,11.2,06/29/2015 5:00 PM,RainbowBeach201506291700
Calumet Beach,06/29/2015 07:00:00 PM,19.8,0.81,,0.081,4,9.8,06/29/2015 7:00 PM,CalumetBeach201506291900
63rd Street Beach,06/29/2015 07:00:00 PM,19.8,0.8,,0.078,7,11.8,06/29/2015 7:00 PM,63rdStreetBeach201506291900
Montrose Beach,06/29/2015 07:00:00 PM,17.8,0.29,,0.095,6,12,06/29/2015 7:00 PM,MontroseBeach201506291900
Osterman Beach,06/29/2015 07:00:00 PM,18.2,0.77,,0.086,6,11.8,06/29/2015 7:00 PM,OstermanBeach201506291900
Ohio Street Beach,06/29/2015 06:00:00 PM,18.8,1.66,,0.103,3,11.1,06/29/2015 6:00 PM,OhioStreetBeach201506291800
Rainbow Beach,06/29/2015 06:00:00 PM,18.9,0.66,,0.117,4,11.2,06/29/2015 6:00 PM,RainbowBeach201506291800
Calumet Beach,06/29/2015 08:00:00 PM,19.9,0.86,,0.07,7,9.8,06/29/2015 8:00 PM,CalumetBeach201506292000
63rd Street Beach,06/29/2015 08:00:00 PM,19.8,0.77,,0.077,3,11.8,06/29/2015 8:00 PM,63rdStreetBeach201506292000
Montrose Beach,06/29/2015 08:00:00 PM,17.9,0.25,,0.103,5,12,06/29/2015 8:00 PM,MontroseBeach201506292000
Osterman Beach,06/29/2015 08:00:00 PM,18.2,0.78,,0.087,5,11.8,06/29/2015 8:00 PM,OstermanBeach201506292000
Ohio Street Beach,06/29/2015 07:00:00 PM,18.8,1.57,,0.104,3,11.1,06/29/2015 7:00 PM,OhioStreetBeach201506291900
Rainbow Beach,06/29/2015 07:00:00 PM,19.1,0.58,,0.11,4,11.2,06/29/2015 7:00 PM,RainbowBeach201506291900
Calumet Beach,06/29/2015 09:00:00 PM,19.9,1,,0.075,2,9.8,06/29/2015 9:00 PM,CalumetBeach201506292100
63rd Street Beach,06/29/2015 09:00:00 PM,19.8,0.82,,0.083,5,11.8,06/29/2015 9:00 PM,63rdStreetBeach201506292100
Montrose Beach,06/29/2015 09:00:00 PM,17.6,0.26,,0.087,5,12,06/29/2015 9:00 PM,MontroseBeach201506292100
Osterman Beach,06/29/2015 09:00:00 PM,18,0.81,,0.076,4,11.8,06/29/2015 9:00 PM,OstermanBeach201506292100
Ohio Street Beach,06/29/2015 08:00:00 PM,18.7,1.53,,0.098,3,11.1,06/29/2015 8:00 PM,OhioStreetBeach201506292000
Rainbow Beach,06/29/2015 08:00:00 PM,19,0.55,,0.099,4,11.2,06/29/2015 8:00 PM,RainbowBeach201506292000
Calumet Beach,06/29/2015 10:00:00 PM,19.9,0.93,,0.066,5,9.8,06/29/2015 10:00 PM,CalumetBeach201506292200
63rd Street Beach,06/29/2015 10:00:00 PM,19.5,0.85,,0.079,4,11.8,06/29/2015 10:00 PM,63rdStreetBeach201506292200
Montrose Beach,06/29/2015 10:00:00 PM,17.5,0.28,,0.08,4,12,06/29/2015 10:00 PM,MontroseBeach201506292200
Osterman Beach,06/29/2015 10:00:00 PM,17.8,0.86,,0.075,9,11.8,06/29/2015 10:00 PM,OstermanBeach201506292200
Ohio Street Beach,06/29/2015 09:00:00 PM,18.6,1.56,,0.099,3,11.1,06/29/2015 9:00 PM,OhioStreetBeach201506292100
Rainbow Beach,06/29/2015 09:00:00 PM,18.6,0.57,,0.113,3,11.2,06/29/2015 9:00 PM,RainbowBeach201506292100
Calumet Beach,06/29/2015 11:00:00 PM,19.7,0.87,,0.068,10,9.8,06/29/2015 11:00 PM,CalumetBeach201506292300
63rd Street Beach,06/29/2015 11:00:00 PM,19.3,0.84,,0.071,4,11.8,06/29/2015 11:00 PM,63rdStreetBeach201506292300
Montrose Beach,06/29/2015 11:00:00 PM,17.3,0.27,,0.088,9,12,06/29/2015 11:00 PM,MontroseBeach201506292300
Osterman Beach,06/29/2015 11:00:00 PM,17.5,0.67,,0.087,9,11.8,06/29/2015 11:00 PM,OstermanBeach201506292300
Ohio Street Beach,06/29/2015 10:00:00 PM,18.6,1.65,,0.162,2,11.1,06/29/2015 10:00 PM,OhioStreetBeach201506292200
Rainbow Beach,06/29/2015 10:00:00 PM,18.3,0.69,,0.11,3,11.2,06/29/2015 10:00 PM,RainbowBeach201506292200
Calumet Beach,06/30/2015 12:00:00 AM,19.6,0.82,,0.061,9,9.8,06/30/2015 12:00 AM,CalumetBeach201506302400
63rd Street Beach,06/30/2015 12:00:00 AM,19.1,0.8,,0.072,9,11.8,06/30/2015 12:00 AM,63rdStreetBeach201506302400
Montrose Beach,06/30/2015 12:00:00 AM,17.1,0.32,,0.087,7,12,06/30/2015 12:00 AM,MontroseBeach201506302400
Osterman Beach,06/30/2015 12:00:00 AM,17.2,0.54,,0.088,7,11.8,06/30/2015 12:00 AM,OstermanBeach201506302400
Ohio Street Beach,06/29/2015 11:00:00 PM,18.5,1.61,,0.062,9,11.1,06/29/2015 11:00 PM,OhioStreetBeach201506292300
Rainbow Beach,06/29/2015 11:00:00 PM,18.1,0.6,,0.107,3,11.2,06/29/2015 11:00 PM,RainbowBeach201506292300
Calumet Beach,06/30/2015 01:00:00 AM,19.3,0.8,,0.059,8,9.8,06/30/2015 1:00 AM,CalumetBeach201506300100
63rd Street Beach,06/30/2015 01:00:00 AM,18.8,0.79,,0.066,8,11.8,06/30/2015 1:00 AM,63rdStreetBeach201506300100
Montrose Beach,06/30/2015 01:00:00 AM,17.1,0.42,,0.091,6,12,06/30/2015 1:00 AM,MontroseBeach201506300100
Osterman Beach,06/30/2015 01:00:00 AM,17.1,0.59,,0.078,6,11.8,06/30/2015 1:00 AM,OstermanBeach201506300100
Ohio Street Beach,06/30/2015 12:00:00 AM,18.5,1.6,,0.062,4,11.1,06/30/2015 12:00 AM,OhioStreetBeach201506302400
Rainbow Beach,06/30/2015 12:00:00 AM,18.1,0.58,,0.09,9,11.2,06/30/2015 12:00 AM,RainbowBeach201506302400
Calumet Beach,06/30/2015 02:00:00 AM,19.2,0.9,,0.06,7,9.7,06/30/2015 2:00 AM,CalumetBeach201506300200
63rd Street Beach,06/30/2015 02:00:00 AM,18.7,0.89,,0.058,7,11.8,06/30/2015 2:00 AM,63rdStreetBeach201506300200
Montrose Beach,06/30/2015 02:00:00 AM,17.1,0.41,,0.083,5,12,06/30/2015 2:00 AM,MontroseBeach201506300200
Osterman Beach,06/30/2015 02:00:00 AM,17.2,0.54,,0.069,5,11.8,06/30/2015 2:00 AM,OstermanBeach201506300200
Ohio Street Beach,06/30/2015 01:00:00 AM,18.4,1.49,,0.054,4,11.1,06/30/2015 1:00 AM,OhioStreetBeach201506300100
Rainbow Beach,06/30/2015 01:00:00 AM,18.2,0.6,,0.094,7,11.2,06/30/2015 1:00 AM,RainbowBeach201506300100
Ohio Street Beach,06/05/2016 10:00:00 PM,14.2,0.81,,0.141,4,11.4,06/05/2016 10:00 PM,OhioStreetBeach201606052200
Ohio Street Beach,05/25/2017 09:00:00 AM,12.7,8.79,,0.187,3,11.5,05/25/2017 9:00 AM,OhioStreetBeach201705250900
Ohio Street Beach,06/30/2017 11:00:00 PM,18.2,1.08,,0.187,3,11.3,06/30/2017 11:00 PM,OhioStreetBeach201706302300
Ohio Street Beach,07/01/2017 12:00:00 AM,18.2,1.05,,0.187,3,11.3,07/01/2017 12:00 AM,OhioStreetBeach201707012400
Ohio Street Beach,07/01/2017 01:00:00 AM,18.2,1.07,,0.187,3,11.3,07/01/2017 1:00 AM,OhioStreetBeach201707010100
Ohio Street Beach,07/01/2017 02:00:00 AM,18.3,1.08,,0.187,3,11.3,07/01/2017 2:00 AM,OhioStreetBeach201707010200
Ohio Street Beach,07/01/2017 03:00:00 AM,18.2,1.05,,0.187,3,11.3,07/01/2017 3:00 AM,OhioStreetBeach201707010300
Ohio Street Beach,07/01/2017 04:00:00 AM,18.2,1.06,,0.187,3,11.3,07/01/2017 4:00 AM,OhioStreetBeach201707010400
Ohio Street Beach,07/01/2017 05:00:00 AM,18.2,1.01,,0.187,3,11.3,07/01/2017 5:00 AM,OhioStreetBeach201707010500
Ohio Street Beach,07/01/2017 06:00:00 AM,18.2,0.96,,0.187,3,11.3,07/01/2017 6:00 AM,OhioStreetBeach201707010600
Ohio Street Beach,07/01/2017 07:00:00 AM,18.2,0.96,,0.187,3,11.3,07/01/2017 7:00 AM,OhioStreetBeach201707010700
Ohio Street Beach,07/01/2017 08:00:00 AM,18.4,0.91,,0.187,3,11.3,07/01/2017 8:00 AM,OhioStreetBeach201707010800
Ohio Street Beach,07/01/2017 09:00:00 AM,18.6,0.88,,0.187,3,11.3,07/01/2017 9:00 AM,OhioStreetBeach201707010900
Ohio Street Beach,07/01/2017 10:00:00 AM,19.2,0.94,,0.187,3,11.3,07/01/2017 10:00 AM,OhioStreetBeach201707011000
Ohio Street Beach,07/01/2017 11:00:00 AM,19.4,0.93,,0.187,3,11.3,07/01/2017 11:00 AM,OhioStreetBeach201707011100
Ohio Street Beach,07/01/2017 12:00:00 PM,20.4,1.05,,0.187,3,11.3,07/01/2017 12:00 PM,OhioStreetBeach201707011200
Ohio Street Beach,07/01/2017 01:00:00 PM,19.9,1.03,,0.187,3,11.3,07/01/2017 1:00 PM,OhioStreetBeach201707011300
Ohio Street Beach,07/01/2017 02:00:00 PM,20.1,1.2,,0.187,3,11.3,07/01/2017 2:00 PM,OhioStreetBeach201707011400
Ohio Street Beach,07/01/2017 03:00:00 PM,19.6,1.1,,0.187,3,11.3,07/01/2017 3:00 PM,OhioStreetBeach201707011500
Ohio Street Beach,07/01/2017 04:00:00 PM,19.9,1.24,,0.187,3,11.3,07/01/2017 4:00 PM,OhioStreetBeach201707011600
Ohio Street Beach,07/01/2017 05:00:00 PM,20.3,1.48,,0.187,3,11.3,07/01/2017 5:00 PM,OhioStreetBeach201707011700
Ohio Street Beach,07/01/2017 06:00:00 PM,20.3,1.12,,0.187,3,11.3,07/01/2017 6:00 PM,OhioStreetBeach201707011800
Ohio Street Beach,07/02/2017 04:00:00 AM,19.3,1.67,,0.187,3,11.3,07/02/2017 4:00 AM,OhioStreetBeach201707020400
Calumet Beach,06/05/2016 11:00:00 PM,13.5,1.08,,0.132,4,11.3,06/05/2016 11:00 PM,CalumetBeach201606052300
63rd Street Beach,06/30/2015 03:00:00 AM,18.7,1.01,,0.058,6,11.8,06/30/2015 3:00 AM,63rdStreetBeach201506300300
Montrose Beach,06/30/2015 03:00:00 AM,17.1,0.38,,0.079,6,12,06/30/2015 3:00 AM,MontroseBeach201506300300
Osterman Beach,06/30/2015 03:00:00 AM,17.2,0.57,,0.075,6,11.8,06/30/2015 3:00 AM,OstermanBeach201506300300
Ohio Street Beach,06/30/2015 02:00:00 AM,18.4,1.65,,0.053,6,11.1,06/30/2015 2:00 AM,OhioStreetBeach201506300200
Rainbow Beach,06/30/2015 02:00:00 AM,18,0.65,,0.069,7,11.2,06/30/2015 2:00 AM,RainbowBeach201506300200
63rd Street Beach,06/30/2015 04:00:00 AM,18.5,0.99,,0.058,5,11.8,06/30/2015 4:00 AM,63rdStreetBeach201506300400
Montrose Beach,06/30/2015 04:00:00 AM,17.1,0.3,,0.072,4,11.9,06/30/2015 4:00 AM,MontroseBeach201506300400
Osterman Beach,06/30/2015 04:00:00 AM,17.2,0.55,,0.072,4,11.8,06/30/2015 4:00 AM,OstermanBeach201506300400
Ohio Street Beach,06/30/2015 03:00:00 AM,18.4,1.44,,0.054,5,11.1,06/30/2015 3:00 AM,OhioStreetBeach201506300300
Rainbow Beach,06/30/2015 03:00:00 AM,17.9,0.66,,0.065,6,11.2,06/30/2015 3:00 AM,RainbowBeach201506300300
63rd Street Beach,06/30/2015 05:00:00 AM,17.9,0.84,,0.066,4,11.8,06/30/2015 5:00 AM,63rdStreetBeach201506300500
Montrose Beach,06/30/2015 05:00:00 AM,17.2,0.29,,0.084,5,11.9,06/30/2015 5:00 AM,MontroseBeach201506300500
Osterman Beach,06/30/2015 05:00:00 AM,17.1,0.5,,0.094,3,11.8,06/30/2015 5:00 AM,OstermanBeach201506300500
Ohio Street Beach,06/30/2015 04:00:00 AM,18.3,1.63,,0.051,4,11.1,06/30/2015 4:00 AM,OhioStreetBeach201506300400
Rainbow Beach,06/30/2015 04:00:00 AM,17.7,0.68,,0.068,5,11.2,06/30/2015 4:00 AM,RainbowBeach201506300400
63rd Street Beach,06/30/2015 06:00:00 AM,17.8,0.81,,0.072,2,11.8,06/30/2015 6:00 AM,63rdStreetBeach201506300600
Montrose Beach,06/30/2015 06:00:00 AM,17.1,0.4,,0.096,4,11.9,06/30/2015 6:00 AM,MontroseBeach201506300600
Osterman Beach,06/30/2015 06:00:00 AM,17.1,0.51,,0.114,3,11.7,06/30/2015 6:00 AM,OstermanBeach201506300600
Ohio Street Beach,06/30/2015 05:00:00 AM,18.3,1.65,,0.062,3,11.1,06/30/2015 5:00 AM,OhioStreetBeach201506300500
Rainbow Beach,06/30/2015 05:00:00 AM,17.6,0.79,,0.067,4,11.2,06/30/2015 5:00 AM,RainbowBeach201506300500
63rd Street Beach,06/30/2015 07:00:00 AM,17.7,0.83,,0.069,5,11.8,06/30/2015 7:00 AM,63rdStreetBeach201506300700
Montrose Beach,06/30/2015 07:00:00 AM,17.2,0.27,,0.107,3,11.9,06/30/2015 7:00 AM,MontroseBeach201506300700
Osterman Beach,06/30/2015 07:00:00 AM,17,0.53,,0.126,3,11.7,06/30/2015 7:00 AM,OstermanBeach201506300700
Ohio Street Beach,06/30/2015 06:00:00 AM,18.3,1.54,,0.066,3,11.1,06/30/2015 6:00 AM,OhioStreetBeach201506300600
Rainbow Beach,06/30/2015 06:00:00 AM,17.5,0.64,,0.077,6,11.2,06/30/2015 6:00 AM,RainbowBeach201506300600
63rd Street Beach,06/30/2015 08:00:00 AM,17.8,0.78,,0.083,2,11.8,06/30/2015 8:00 AM,63rdStreetBeach201506300800
Montrose Beach,06/30/2015 08:00:00 AM,17.2,0.22,,0.109,3,11.9,06/30/2015 8:00 AM,MontroseBeach201506300800
Osterman Beach,06/30/2015 08:00:00 AM,17.1,0.55,,0.119,3,11.7,06/30/2015 8:00 AM,OstermanBeach201506300800
